text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M
Postrzelony holenderski dziennikarz nie żyje. Miał 64 lata _link_ via _users_ ,twitter,0,1.0,2.4,1.4,1.0,1.4,1.0,2.0,1.8,0.0,0.0,0.35,0.09999999999999998,0.0,0.09999999999999998,0.0,0.25,0.2
Nigdy sę z tego czerwonego gówna nie wygrzebiemy. Sąd Najwyższy przeciwko obniżeniu emerytur funkcjonariuszom PRL. Radość Lewicy: To przywrócenie praworządności _link_ ,twitter,0,1.0,2.6,4.6,4.2,2.2,1.0,1.0,3.8,2.0,0.0,0.4,0.8999999999999999,0.8,0.30000000000000004,0.0,0.0,0.7
"O naszej przyszłości w UE lub poza nią (bo takie mogą być konsekwencje orzeczenia TK) decyduje pani, która w obrazach Beksińskiego widzi posłankę Gasiuk-Pihowicz. Coś poszło bardzo nie tak.",twitter,0,1.0,2.2,3.2,3.8,2.4,1.0,1.4,3.4,4.0,0.0,0.30000000000000004,0.55,0.7,0.35,0.0,0.09999999999999998,0.6
"Wakacyjny wskaźnik nieobecności kontrolowanych pracowników oscylował w czerwcu, lipcu oraz sierpniu tego roku na granicy 31%. W wakacje 2021, przyłapanych na tzw. „gorącym uczynku” było około 2% kontrolowanych.",twitter,0,1.0,1.2,1.6,1.2,1.0,1.0,2.8,1.6,0.0,0.0,0.04999999999999999,0.15000000000000002,0.04999999999999999,0.0,0.0,0.44999999999999996,0.15000000000000002
_users_ Najgłupszy komantarz _users_ od początku miesiąca 👌,twitter,0,1.2,1.2,1.8,2.6,1.0,1.0,2.0,2.2,3.0,0.04999999999999999,0.04999999999999999,0.2,0.4,0.0,0.0,0.25,0.30000000000000004
"_users_ Samorządy mają udział taki sam w grantach jak i pożyczkach - po 5,5 mld €.",twitter,0,1.4,1.6,1.6,1.8,1.6,1.0,2.6,1.6,0.0,0.09999999999999998,0.15000000000000002,0.15000000000000002,0.2,0.15000000000000002,0.0,0.4,0.15000000000000002
_users_ Świat odwróconych pojęć,twitter,0,1.0,2.8,1.8,1.6,1.8,1.0,2.4,1.8,0.0,0.0,0.44999999999999996,0.2,0.15000000000000002,0.2,0.0,0.35,0.2
"""Nagle okazało się – przynajmniej w ich opinii – że nie wolno pokazywać światu, co mówi i robi młodzież na chińskiej apce, zaprojektowanej, by prać zachodnie mózgi i szpiegować swoich użytkowników..."" _link_ ",twitter,0,1.0,1.6,3.4,2.8,1.6,1.0,2.0,2.8,3.0,0.0,0.15000000000000002,0.6,0.44999999999999996,0.15000000000000002,0.0,0.25,0.44999999999999996
"Po raz pierwszy Serek Wiejski pojawił się w Polsce w 1992 roku dzięki OSM Piątnica, która wprowadziła go nasz rynek i nadal pozostaje jego największym producentem.",twitter,0,2.2,1.0,1.0,1.0,1.0,3.4,3.8,2.2,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.6,0.7,0.30000000000000004
SE.PL Zandberg o zaangażowaniu Polaków w pomoc uchodźcom.,,0,1.2,1.4,1.2,1.0,1.0,1.4,2.8,1.6,0.0,0.04999999999999999,0.09999999999999998,0.04999999999999999,0.0,0.0,0.09999999999999998,0.44999999999999996,0.15000000000000002
Tygodnik WPROST opublikował listę 50 najbardziej wpływowych Polek i Polaków.,,0,2.2,1.0,1.0,1.0,1.0,2.2,3.6,1.6,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.30000000000000004,0.65,0.15000000000000002
Gra Scholza w obecności Tuska w dobrego i złego ubeka.,,0,1.0,1.6,4.0,4.0,1.6,1.0,1.2,3.0,0.0,0.0,0.15000000000000002,0.75,0.75,0.15000000000000002,0.0,0.04999999999999999,0.5
"ednak oczekuje się, że globalne wykorzystanie pszenicy wzrośnie o 2,0 procent w stosunku do poziomu z sezonu 2020/2021 w związku z wykorzystaniem na cele żywnościowe i paszowe.",twitter,0,1.4,1.4,1.2,1.0,1.2,1.2,2.6,2.4,0.0,0.09999999999999998,0.09999999999999998,0.04999999999999999,0.0,0.04999999999999999,0.04999999999999999,0.4,0.35
PIH: W sklepach nie zabraknie żywności i środków higienicznych,twitter,0,1.8,1.0,1.2,1.0,1.2,2.4,3.2,2.2,0.0,0.2,0.0,0.04999999999999999,0.0,0.04999999999999999,0.35,0.55,0.30000000000000004
Już we wtorek Ziemia Święta.,,0,2.6,1.0,1.0,1.0,1.0,2.0,3.6,2.4,0.0,0.4,0.0,0.0,0.0,0.0,0.25,0.65,0.35
_users_ Pycha:) _link_ ,twitter,0,4.2,1.0,1.0,1.0,1.0,1.8,4.6,2.8,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.8999999999999999,0.44999999999999996
"Ponad 23% przyznaje, że nieuregulowane w terminie należności przekładają się niekorzystnie na płace i zatrudnienie. Firmy przemysłowe mają też największe problemy z wprowadzaniem nowych produktów na rynek (14,9%).",twitter,0,1.0,1.8,1.6,1.2,1.2,1.0,2.2,1.6,0.0,0.0,0.2,0.15000000000000002,0.04999999999999999,0.04999999999999999,0.0,0.30000000000000004,0.15000000000000002
Prosimy Cię o wsparcie Sekielski Brothers Studio patronite.pl/sekielski SEKIELSCY.PL Alkodramaty.,,0,1.2,1.0,1.4,1.4,1.2,1.4,2.6,1.8,0.0,0.04999999999999999,0.0,0.09999999999999998,0.09999999999999998,0.04999999999999999,0.09999999999999998,0.4,0.2
"To nie jest żart, to nie jest też „wypadek przy pracy”.",,0,1.0,2.0,2.8,1.6,2.0,1.0,1.4,2.0,2.0,0.0,0.25,0.44999999999999996,0.15000000000000002,0.25,0.0,0.09999999999999998,0.25
Ojciec rodziny doświadczył mobbingu w pracy oraz miał wypadek.,,0,1.0,2.8,2.6,1.6,1.8,1.0,2.0,2.0,0.0,0.0,0.44999999999999996,0.4,0.15000000000000002,0.2,0.0,0.25,0.25
"A co trzeba zrobić, żeby zostać członkiem tego związku?",,0,1.8,1.2,1.0,1.2,1.2,1.0,2.8,2.0,0.0,0.2,0.04999999999999999,0.0,0.04999999999999999,0.04999999999999999,0.0,0.44999999999999996,0.25
"Dobra, szybka i potrzebna decyzja KE! _link_ ",twitter,0,3.4,1.0,1.0,1.0,1.0,2.6,4.2,3.6,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.8,0.65
_users_ Już blisko :),twitter,0,4.4,1.0,1.0,1.0,1.4,2.2,4.6,3.0,0.0,0.8500000000000001,0.0,0.0,0.0,0.09999999999999998,0.30000000000000004,0.8999999999999999,0.5
"_users_ Nie, zgodnie z tą logiką nie mógł tej interpretacji przyjąć. Pozdrawiam panów serdecznie.",twitter,0,1.4,1.4,2.0,1.8,1.4,1.4,2.2,2.0,2.0,0.09999999999999998,0.09999999999999998,0.25,0.2,0.09999999999999998,0.09999999999999998,0.30000000000000004,0.25
_users_ Cieszę się i życzę ciekawej lektury!,twitter,0,4.2,1.0,1.0,1.0,1.0,2.4,4.4,2.2,0.0,0.8,0.0,0.0,0.0,0.0,0.35,0.8500000000000001,0.30000000000000004
W Rzymie ograniczenie ruchu wszystkich samochodów z silnikiem diesla,twitter,0,1.2,1.0,1.0,1.0,1.0,1.6,3.0,1.6,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.15000000000000002,0.5,0.15000000000000002
"Cały świat mówił, że Carakale to lipa ale Tusk chciał i koniec dyskusji. _link_ ",twitter,0,1.2,1.4,4.0,2.2,1.2,1.0,1.8,2.8,1.0,0.04999999999999999,0.09999999999999998,0.75,0.30000000000000004,0.04999999999999999,0.0,0.2,0.44999999999999996
"Szok i niedowierzanie, bo ""Margot""... idzie do męskiego aresztu. ""To trauma"" _link_ ",twitter,0,1.0,1.8,2.4,3.6,2.0,1.0,1.6,3.4,5.0,0.0,0.2,0.35,0.65,0.25,0.0,0.15000000000000002,0.6
"Ów rumpuć gotowaliśmy i dzieliliśmy się nim z mieszkańcami, którzy mimo niepogody przybyli tysiącami.",,0,3.0,1.0,1.0,1.0,1.0,3.8,4.2,2.6,0.0,0.5,0.0,0.0,0.0,0.0,0.7,0.8,0.4
"🏳️‍🌈 Pamiętaj, nie jesteś sam/sama/samo - wsparcie dla osób LGBT+ jest na wyciągnięcie ręki!",,0,3.4,1.2,1.0,1.0,1.0,3.4,4.2,3.0,0.0,0.6,0.04999999999999999,0.0,0.0,0.0,0.6,0.8,0.5
"Fizycznie jestem dziś w Poznaniu na Cargo Bike Festiwalu, ale równocześnie całym sercem wspieram #ProtestMedykow, który właśnie rusza w Warszawie ❤️✊🚑 Medyczkom i medykom należą się bezpieczne warunki pracy i godne płace.",,0,3.6,1.8,1.8,1.0,1.6,3.8,4.0,3.8,0.0,0.65,0.2,0.2,0.0,0.15000000000000002,0.7,0.75,0.7
Przygotowania na czerwonym dywanie. Tak to wygląda dziś. W nocy z niedzieli na poniedziałek czasu polskiego ceremonia wręczenia Oscarów. _users_ #Oscars2020 _users_ _link_ ,twitter,0,2.8,1.0,1.0,1.0,1.0,2.2,3.6,2.0,0.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.30000000000000004,0.65,0.25
_users_ Ale podobno wcześniej system chce zgody na udostępnienie pulpitu!,twitter,0,1.2,1.6,2.2,1.0,2.0,1.0,2.2,3.2,0.0,0.04999999999999999,0.15000000000000002,0.30000000000000004,0.0,0.25,0.0,0.30000000000000004,0.55
TVP.INFO Nowy Wspaniały Faszyzm,,0,1.0,2.6,4.0,3.8,2.4,1.0,1.6,3.0,5.0,0.0,0.4,0.75,0.7,0.35,0.0,0.15000000000000002,0.5
"Swoją drogą to jest naprawdę śmieszne, że politycy PiS i Lewicy o Tusku czy Schetynie mówią ""dziadersi"". U Was za to panie i panowie sami młodzi, gniewni i pełni energii",twitter,0,1.4,1.4,3.2,2.8,1.4,1.2,2.2,2.8,4.0,0.09999999999999998,0.09999999999999998,0.55,0.44999999999999996,0.09999999999999998,0.04999999999999999,0.30000000000000004,0.44999999999999996
"Jednocześnie prosimy o dalsze wsparcie, które umożliwi nam dalsze działania.",,0,2.2,1.4,1.2,1.0,1.4,2.0,3.4,2.4,0.0,0.30000000000000004,0.09999999999999998,0.04999999999999999,0.0,0.09999999999999998,0.25,0.6,0.35
_users_ Koło 40 w dzień.,twitter,0,1.4,1.2,1.2,1.2,1.2,1.4,3.2,1.4,0.0,0.09999999999999998,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.09999999999999998,0.55,0.09999999999999998
Nie lepiej robić dissy na siebie ?,youtube,0,1.4,1.2,2.4,1.8,1.2,1.0,2.6,2.2,3.0,0.09999999999999998,0.04999999999999999,0.35,0.2,0.04999999999999999,0.0,0.4,0.30000000000000004
"_users_ Powinny, ale i tak na razie nie mogą.",twitter,0,1.0,1.4,2.2,1.6,1.0,1.0,2.0,2.0,0.0,0.0,0.09999999999999998,0.30000000000000004,0.15000000000000002,0.0,0.0,0.25,0.25
"Piotr Cieśliński, szef działu naukpwego w _users_ : Nie, wszyscy nie umrzemy na #koronawirus-a. Mieliśmy już pandemie i wiemy, czego się spodziewać _link_ ",twitter,0,1.2,1.4,1.8,1.2,2.2,1.4,2.4,2.2,0.0,0.04999999999999999,0.09999999999999998,0.2,0.04999999999999999,0.30000000000000004,0.09999999999999998,0.35,0.30000000000000004
"Prognoza: Więcej niż przed rokiem (o ok. 7% r/r) zapłacimy za napoje bezalkoholowe, co jest efektem wprowadzonego na początku br. podatku cukrowego.",twitter,0,1.0,1.6,2.0,1.0,1.4,1.0,2.8,1.4,0.0,0.0,0.15000000000000002,0.25,0.0,0.09999999999999998,0.0,0.44999999999999996,0.09999999999999998
"_users_ Po co pan posługuje się fałszywym kontem ? Sędzia S.Piotrowicz NIE MA żadnego konta w mediach społecznościowych.Wystarczy zajrzeć na profil tego oszusta,by się łatwo przekonać,że prowadzi je nędzny oszust.",twitter,0,1.0,1.6,4.6,4.4,1.4,1.0,1.2,4.2,0.0,0.0,0.15000000000000002,0.8999999999999999,0.8500000000000001,0.09999999999999998,0.0,0.04999999999999999,0.8
"Co ważne - jest ono skoncentrowane na idei spółdzielczości, którą wspieramy - i działa to świetnie.",,0,2.8,1.0,1.0,1.0,1.2,3.6,4.6,3.0,0.0,0.44999999999999996,0.0,0.0,0.0,0.04999999999999999,0.65,0.8999999999999999,0.5
"O tym, jak je przyjęły amerykańskie media dla #Minela20 prosto z Nowego Jorku relacjonuje Michał Rachoń.",,0,1.4,1.0,1.0,1.0,1.0,1.4,3.4,1.6,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.09999999999999998,0.6,0.15000000000000002
"Państwo to przede wszystkim ludzie, którzy mają wystarczająco dużo woli, by walczyć o swój los i swoje granice.",,0,2.2,1.4,1.4,1.4,1.4,3.0,3.4,2.6,0.0,0.30000000000000004,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.5,0.6,0.4
"Nie da się przewidzieć jak długo ich kłamstwa będą miały siłę przebicia - dziś, mimo katastrofalnych finansów naszych i państwa, wierzy im ponad 30% Polek i Polaków!!",,0,1.0,2.8,4.0,2.6,2.8,1.0,1.6,4.2,1.0,0.0,0.44999999999999996,0.75,0.4,0.44999999999999996,0.0,0.15000000000000002,0.8
- Orzeczenie TK w sprawie aborcji eugenicznej stwarza nową sytuację prawną w Polsce.,,0,1.0,2.0,2.4,2.0,2.4,1.0,2.0,2.6,0.0,0.0,0.25,0.35,0.25,0.35,0.0,0.25,0.4
wrogowie Polski chcieli niekonstytucyjnych wyborów w mailach Dworczyka ? _link_ ,twitter,0,1.0,1.6,2.8,2.8,1.4,1.0,2.0,1.8,1.0,0.0,0.15000000000000002,0.44999999999999996,0.44999999999999996,0.09999999999999998,0.0,0.25,0.2
Mimo pisowskiej nagonki na osoby LGBT: - 35 proc. Polaków opowiada się za wprowadzeniem związków partnerskich - 21 proc. chce dać osobom LGBT prawo do małżeństw. Prawica oraz bigoci zostali w tyle za Polakami! 56% Polaków za równością! Miłość to miłość! _link_ ,twitter,0,3.4,1.6,2.8,1.6,1.4,3.8,3.6,4.6,1.0,0.6,0.15000000000000002,0.44999999999999996,0.15000000000000002,0.09999999999999998,0.7,0.65,0.8999999999999999
Platforma policzyła ilu posłów potrzeba do odrzucenia prezydenckiego veto _link_ ,twitter,0,1.2,1.2,1.0,1.0,1.2,1.0,3.0,1.2,0.0,0.04999999999999999,0.04999999999999999,0.0,0.0,0.04999999999999999,0.0,0.5,0.04999999999999999
"Sąd Najwyższy może uchylić orzeczenie każdego sądu w kraju w sprawie karnej, cywilnej czy gospodarczej, jeżeli to orzeczenie nie będzie po myśli władzy: zarówno to dotyczące obywateli, jak i to dotyczące polityków.",,0,1.2,1.4,1.6,1.0,1.2,1.0,2.6,1.6,0.0,0.04999999999999999,0.09999999999999998,0.15000000000000002,0.0,0.04999999999999999,0.0,0.4,0.15000000000000002
✅Społeczna Komisja Kodyfikacyjna przypomina organom władzy ustawodawczej i wykonawczej o konieczności poszanowania konstytucyjnie gwarantowanego prawa do sądu w projektowanych zmianach procedury cywilnej.,,0,1.0,1.2,1.8,1.0,1.0,1.4,2.8,2.6,2.0,0.0,0.04999999999999999,0.2,0.0,0.0,0.09999999999999998,0.44999999999999996,0.4
"Jednocześnie państwo polskie udziela Ukrainie wsparcia militarnego, humanitarnego i finansowego na skalę, która jest dostrzegana i doceniana na całym świecie.",,0,3.4,1.2,1.4,1.0,1.2,4.4,4.0,2.8,0.0,0.6,0.04999999999999999,0.09999999999999998,0.0,0.04999999999999999,0.8500000000000001,0.75,0.44999999999999996
_users_ Teoriom Spiskowym Powiedział bym ci dosadnie ale i tak mi to nie przejdzie więc powiem tylko że bredzisz człowieku 👍🇵🇱🇵🇱🇵🇱👍,youtube,0,1.0,1.2,3.8,3.0,1.2,1.8,2.0,3.4,0.0,0.0,0.04999999999999999,0.7,0.5,0.04999999999999999,0.2,0.25,0.6
"_users_ Nie, lekarza z pogotowia lotniczego.",twitter,0,1.2,1.0,1.8,1.4,1.0,1.0,2.2,2.2,4.0,0.04999999999999999,0.0,0.2,0.09999999999999998,0.0,0.0,0.30000000000000004,0.30000000000000004
Już za chwilę w TV Republika o marszałku Gtodzkim i jego pozwach,twitter,0,1.0,1.4,1.4,2.0,1.2,1.0,2.6,2.2,0.0,0.0,0.09999999999999998,0.09999999999999998,0.25,0.04999999999999999,0.0,0.4,0.30000000000000004
_users_ Tak :) ale dam Ci znać jak będziemy szukali realizatora :),twitter,0,2.6,1.2,1.4,1.4,1.2,1.2,3.6,2.0,0.0,0.4,0.04999999999999999,0.09999999999999998,0.09999999999999998,0.04999999999999999,0.04999999999999999,0.65,0.25
"Pomidory biją rekordy cenowe na polskich targowiskach i w warzywniakach. Ceny sięgają nawet 25, a w niektórych miejscach 30 zł. Szczególnie drogie są te malinowe.",twitter,0,1.0,1.6,1.4,1.0,1.2,1.0,2.4,2.0,0.0,0.0,0.15000000000000002,0.09999999999999998,0.0,0.04999999999999999,0.0,0.35,0.25
Kancelaria Premiera. Wraz z przewodniczącym _users_ reprezentujemy _users_ na specjalnych konsultacjach ze wszystkimi siłami ws. działań państwa wobec koronawirusa _link_ ,twitter,0,2.0,1.2,1.0,1.0,1.2,2.2,3.0,2.0,0.0,0.25,0.04999999999999999,0.0,0.0,0.04999999999999999,0.30000000000000004,0.5,0.25
"Od października NBP podniósł główną stopę procentową z 0,1 do 2,25 proc., a prawdopodobne są kolejne obniżki. W efekcie inflacja bazowa powinna powrócić do dopuszczalnego pasma wahań wokół celu NBP w 2023"" - oceniono w komentarzu PIE.",twitter,0,1.6,1.0,1.0,1.0,1.2,1.2,3.0,1.2,0.0,0.15000000000000002,0.0,0.0,0.0,0.04999999999999999,0.04999999999999999,0.5,0.04999999999999999
"""Jeśli ktoś chce pomóc w zbudowaniu tej listy kłamców — proszę o wskazania w komentarzach"" NCZAS.COM Dobromir Sośnierz OSTRO ws. plotek.",,0,1.2,1.4,4.2,3.6,1.6,1.6,1.2,3.8,1.0,0.04999999999999999,0.09999999999999998,0.8,0.65,0.15000000000000002,0.15000000000000002,0.04999999999999999,0.7
"_users_ Z tym 0 sprzeciwu bym nie przesadzała. Wszyscy czują, że to było przegięcie.",twitter,0,1.0,2.0,2.2,1.8,1.4,1.0,2.0,2.4,1.0,0.0,0.25,0.30000000000000004,0.2,0.09999999999999998,0.0,0.25,0.35
"Ukraińskie władze wielokrotnie powtarzały, że w kraju nie będą stosowane rosyjskie szczepionki, takie jak Sputnik V, nazywając je „hybrydową bronią Rosji przeciwko Ukrainie”",twitter,0,1.4,1.2,2.4,2.4,1.4,1.6,2.0,2.4,0.0,0.09999999999999998,0.04999999999999999,0.35,0.35,0.09999999999999998,0.15000000000000002,0.25,0.35
_users_ ale nie po 18 zł sztuka bo to pobudzi Legię do zdecydowanej wygranej z Lechem w rewanzu,twitter,0,1.6,1.2,1.6,1.8,1.4,1.0,2.4,2.2,3.0,0.15000000000000002,0.04999999999999999,0.15000000000000002,0.2,0.09999999999999998,0.0,0.35,0.30000000000000004
Ich przedstawiciele są w naszym ruchu i codziennie analizują sytuację w Instytucie Strategie2050.pl Od jutra walczymy w Sejmie.,,0,2.0,1.4,2.2,1.8,1.6,3.4,3.2,3.2,0.0,0.25,0.09999999999999998,0.30000000000000004,0.2,0.15000000000000002,0.6,0.55,0.55
._users_ ma nowego rzecznika. Powodzenia _users_ - nie będzie lekko! _link_ ,twitter,0,2.4,1.2,1.8,1.2,1.2,2.8,3.4,3.0,1.0,0.35,0.04999999999999999,0.2,0.04999999999999999,0.04999999999999999,0.44999999999999996,0.6,0.5
"Tak sobie myślę, że Putin byłby ostatnim durniem gdyby wywołał wojnę akurat dnia wskazanego przez wywiad USA",twitter,0,1.4,1.2,2.2,2.6,1.6,1.0,2.2,2.4,0.0,0.09999999999999998,0.04999999999999999,0.30000000000000004,0.4,0.15000000000000002,0.0,0.30000000000000004,0.35
"""Dziękuję Wam z całego serca za to, że tyle od Was mam.",,0,4.6,1.0,1.0,1.0,1.0,3.0,4.8,3.2,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.5,0.95,0.55
"Przypominamy sobie stare filmy, czytamy książki, których nie było czasu przeczytać od dekady, akurat dziś słuchamy wielkiej muzyki Pendereckiego, choćbyśmy - przyznajmy się do tego przed samymi sobą - nigdy wcześniej nie mieli na to czasu.",,0,2.8,1.6,1.2,1.2,1.4,2.4,4.0,2.0,1.0,0.44999999999999996,0.15000000000000002,0.04999999999999999,0.04999999999999999,0.09999999999999998,0.35,0.75,0.25
"Akurat ta Pani powinna milczeć w sprawie bezpieczeństwa energetycznego Polaków. Pamiętamy, kto był matką ustawy 10h, która zablokowała budowę farm wiatrowych. Jak najszybciej trzeba umożliwić w Polsce budowę elektrowni wiatrowych. #BezpiecznaPolska _link_ ",twitter,0,1.0,1.2,3.6,2.4,1.0,1.2,2.0,3.0,1.0,0.0,0.04999999999999999,0.65,0.35,0.0,0.04999999999999999,0.25,0.5
Te wszystkie samoloty i sprzęty powinny zawrócić i skierować się na Kreml. Oddać kilka strzalow i zapanuje pokój.,youtube,0,1.0,1.2,3.6,2.0,1.4,1.0,1.6,3.4,1.0,0.0,0.04999999999999999,0.65,0.25,0.09999999999999998,0.0,0.15000000000000002,0.6
"Na rynku hurtowym w Broniszach coraz więcej polskich warzyw, są już krajowe szparagi, marchewka i szpinak z upraw w tunelach foliowych i są drogie",twitter,0,1.0,1.6,1.2,1.2,1.0,1.2,2.2,1.8,0.0,0.0,0.15000000000000002,0.04999999999999999,0.04999999999999999,0.0,0.04999999999999999,0.30000000000000004,0.2
FAKTY.INTERIA.PL Amerykański politolog alarmuje: Śmiertelne zagrożenie,,0,1.0,1.8,1.6,1.0,3.2,1.0,2.0,2.8,0.0,0.0,0.2,0.15000000000000002,0.0,0.55,0.0,0.25,0.44999999999999996
"Ale pani - na oko 60 lat - oświadczyła w Wiadomościach, że Tusk jej kazał pracować do 67 roku życia _link_ ",twitter,0,1.0,1.8,2.4,1.6,1.4,1.2,2.4,2.2,1.0,0.0,0.2,0.35,0.15000000000000002,0.09999999999999998,0.04999999999999999,0.35,0.30000000000000004
Pfizer i BioNTech: 'Nasza szczepionka na Covid-19 jest w 90% skuteczna' _link_ ,twitter,0,2.8,1.2,1.0,1.0,1.0,4.2,4.0,2.6,0.0,0.44999999999999996,0.04999999999999999,0.0,0.0,0.0,0.8,0.75,0.4
❗️Rdzenny aktywista i brytyjski dziennikarz zaginęli w Amazonii❗️ Bruno Araújo Pereira i Dom Phillips zaginęli w zeszłą niedzielę w dolinie Javari.,,0,1.0,3.0,1.4,1.2,2.4,1.0,2.0,3.0,0.0,0.0,0.5,0.09999999999999998,0.04999999999999999,0.35,0.0,0.25,0.5
