word,emotion,score
score,joy,0.182
calm,joy,0.394
clean,joy,0.26
divine,joy,0.641
dawn,joy,0.333
castle,joy,0.219
snuggling,joy,0.625
rest,joy,0.469
friendship,joy,0.591
rave,joy,0.706
affluence,joy,0.391
uplift,joy,0.723
snuggled,joy,0.594
applause,joy,0.621
companion,joy,0.406
miracles,joy,0.758
fabulous,joy,0.922
vote,joy,0.234
cocoa,joy,0.353
dolphin,joy,0.348
nostalgic,joy,0.439
comfort,joy,0.515
cheering,joy,0.859
beautification,joy,0.703
wintery,joy,0.172
goodnews,joy,0.703
garden,joy,0.333
enthusiast,joy,0.471
uplifting,joy,0.641
honest,joy,0.303
aesthetics,joy,0.455
romp,joy,0.348
classics,joy,0.318
taoism,joy,0.288
vibes,joy,0.379
liberation,joy,0.531
improvement,joy,0.309
boyfriend,joy,0.48
namaste,joy,0.453
mine,joy,0.297
rollicking,joy,0.588
sex,joy,0.622
chocolate,joy,0.484
create,joy,0.288
scholarship,joy,0.455
freely,joy,0.606
felicity,joy,0.636
generous,joy,0.609
hohoho,joy,0.845
luncheon,joy,0.172
reconciliation,joy,0.316
favorable,joy,0.561
revival,joy,0.359
relationship,joy,0.514
excellent,joy,0.812
independence,joy,0.607
princely,joy,0.515
spirit,joy,0.515
enchanting,joy,0.828
cousins,joy,0.318
oils,joy,0.141
tender,joy,0.441
surprise,joy,0.562
candles,joy,0.25
established,joy,0.303
infant,joy,0.309
awesomeness,joy,0.926
genial,joy,0.621
rhythmical,joy,0.394
matrimony,joy,0.531
loving,joy,0.879
smiles,joy,0.766
super,joy,0.609
commendable,joy,0.519
appreciates,joy,0.703
independent,joy,0.359
surprises,joy,0.606
intelligence,joy,0.477
grandchildren,joy,0.54
service,joy,0.172
creativity,joy,0.484
commemoration,joy,0.479
ordination,joy,0.234
opera,joy,0.109
fiesta,joy,0.773
endless,joy,0.303
magic,joy,0.712
synchronize,joy,0.329
glow,joy,0.656
living,joy,0.312
exuberance,joy,0.922
feat,joy,0.297
victor,joy,0.667
eager,joy,0.438
coronation,joy,0.515
candle,joy,0.234
experience,joy,0.375
pure,joy,0.364
award,joy,0.727
giddy,joy,0.757
worship,joy,0.379
joys,joy,0.818
sharing,joy,0.439
gift,joy,0.547
righteousness,joy,0.439
happydance,joy,0.912
complement,joy,0.647
freshair,joy,0.455
fireplace,joy,0.273
walking,joy,0.188
cutie,joy,0.515
found,joy,0.258
humor,joy,0.656
stressfree,joy,0.601
cove,joy,0.203
fulfillment,joy,0.728
victory,joy,0.734
basketball,joy,0.062
uncontrollable,joy,0.203
laughter,joy,0.824
sanctification,joy,0.364
loved,joy,0.859
notable,joy,0.297
newbeginnings,joy,0.693
nostalgia,joy,0.47
compliment,joy,0.831
godisgood,joy,0.597
authentic,joy,0.364
positivity,joy,0.773
blessing,joy,0.844
breakfast,joy,0.242
safe,joy,0.422
powerful,joy,0.516
flirt,joy,0.594
lush,joy,0.47
friendliness,joy,0.75
sweetest,joy,0.703
holidays,joy,0.721
hugs,joy,0.562
flows,joy,0.13
money,joy,0.531
goodtimes,joy,0.811
teamjesus,joy,0.5
listneing,joy,0.212
ease,joy,0.422
meditation,joy,0.446
eagerness,joy,0.552
friends,joy,0.5
rising,joy,0.375
fitting,joy,0.258
saint,joy,0.328
lovinlife,joy,0.797
energy,joy,0.422
munchies,joy,0.4
whatmakesmesmile,joy,0.811
yeahhh,joy,0.576
birth,joy,0.453
practiced,joy,0.264
superb,joy,0.864
leisure,joy,0.515
amen,joy,0.424
emancipation,joy,0.397
myfavorite,joy,0.804
liberty,joy,0.486
strolling,joy,0.297
crescendo,joy,0.485
jovial,joy,0.814
erotic,joy,0.5
peaceful,joy,0.636
truelove,joy,0.703
oasis,joy,0.486
star,joy,0.406
completing,joy,0.406
spa,joy,0.333
pleasurable,joy,0.877
engaged,joy,0.652
outdoors,joy,0.25
hymn,joy,0.375
movingforward,joy,0.429
rewarding,joy,0.742
sensational,joy,0.818
jubilant,joy,0.969
inviting,joy,0.5
elegant,joy,0.53
overthemoon,joy,0.875
yaaay,joy,0.706
unexpected,joy,0.203
accomplishment,joy,0.594
chilling,joy,0.227
candlelight,joy,0.424
equality,joy,0.394
true,joy,0.328
readiness,joy,0.473
bestfriends,joy,0.682
happynewyear,joy,0.656
recovery,joy,0.312
relaxation,joy,0.672
christmassy,joy,0.779
pleasure,joy,0.803
remedy,joy,0.227
snuggles,joy,0.522
calming,joy,0.47
bounty,joy,0.485
iloveher,joy,0.875
mellow,joy,0.318
mindfulness,joy,0.455
graduation,joy,0.422
fullness,joy,0.394
nothingbetter,joy,0.647
beer,joy,0.141
enchanted,joy,0.781
praise,joy,0.578
grant,joy,0.366
health,joy,0.493
fulfilling,joy,0.618
spiritual,joy,0.297
receiving,joy,0.287
dearest,joy,0.672
joyous,joy,0.922
destiny,joy,0.484
excitation,joy,0.891
live,joy,0.406
jest,joy,0.359
tenderness,joy,0.561
income,joy,0.403
possess,joy,0.219
adorable,joy,0.609
electric,joy,0.344
charity,joy,0.406
youth,joy,0.375
encouragement,joy,0.545
esteem,joy,0.439
orchestra,joy,0.221
harvest,joy,0.297
peaceofmind,joy,0.891
enlighten,joy,0.758
xmas,joy,0.719
lighten,joy,0.409
pho,joy,0.212
autumn,joy,0.254
snowing,joy,0.271
healthful,joy,0.424
marrow,joy,0.078
prosper,joy,0.562
cheers,joy,0.773
refreshed,joy,0.5
engaging,joy,0.485
humanity,joy,0.391
coffee,joy,0.333
angelic,joy,0.688
memorable,joy,0.5
wages,joy,0.169
datenight,joy,0.484
pastor,joy,0.197
relight,joy,0.312
glimmer,joy,0.53
scifi,joy,0.152
friday,joy,0.455
glitter,joy,0.422
happily,joy,0.922
success,joy,0.797
hug,joy,0.672
yay,joy,0.712
countrymusic,joy,0.212
fruits,joy,0.344
dove,joy,0.312
classical,joy,0.106
gratify,joy,0.75
enjoy,joy,0.812
untie,joy,0.109
peppermint,joy,0.156
complete,joy,0.515
christmastime,joy,0.757
smiled,joy,0.682
prevail,joy,0.562
relaxing,joy,0.652
contagious,joy,0.25
pleasures,joy,0.891
vindication,joy,0.453
teach,joy,0.212
devout,joy,0.273
bonus,joy,0.547
winner,joy,0.636
outstanding,joy,0.879
luckygirl,joy,0.576
entertain,joy,0.773
church,joy,0.242
party,joy,0.765
euphoria,joy,0.922
faithfulness,joy,0.553
enthusiastic,joy,0.875
frolic,joy,0.748
revel,joy,0.534
sunshine,joy,0.551
yehey,joy,0.486
destination,joy,0.281
soul,joy,0.401
cathedral,joy,0.266
flattering,joy,0.576
restorative,joy,0.318
fain,joy,0.167
excite,joy,0.697
visitor,joy,0.25
lml,joy,0.422
organ,joy,0.094
hurrah,joy,0.727
overjoyed,joy,0.909
entertained,joy,0.7
tan,joy,0.141
fanfare,joy,0.594
priesthood,joy,0.121
inspiration,joy,0.725
delighted,joy,0.891
journey,joy,0.447
everlasting,joy,0.578
diary,joy,0.25
affliction,joy,0.103
transcendence,joy,0.484
respect,joy,0.5
countryside,joy,0.25
fortitude,joy,0.266
lights,joy,0.203
sledding,joy,0.422
lovable,joy,0.773
tribulation,joy,0.328
wishing,joy,0.406
running,joy,0.258
courtship,joy,0.375
deliverance,joy,0.348
happyvalentinesday,joy,0.773
bookstore,joy,0.125
cruising,joy,0.556
balm,joy,0.152
excellence,joy,0.818
fancy,joy,0.516
snowy,joy,0.234
happyplace,joy,0.875
thrilling,joy,0.776
virtuous,joy,0.613
feelinggood,joy,0.734
obtainable,joy,0.156
bestdayever,joy,0.938
quotes,joy,0.294
heroic,joy,0.591
luxury,joy,0.712
listenting,joy,0.359
skiing,joy,0.234
alliance,joy,0.368
finally,joy,0.157
satisfied,joy,0.5
praised,joy,0.652
demonstrative,joy,0.25
soblessed,joy,0.706
heavens,joy,0.779
sparkle,joy,0.577
bloom,joy,0.5
leaf,joy,0.065
december,joy,0.167
confident,joy,0.531
voluptuous,joy,0.344
hero,joy,0.562
brisk,joy,0.212
giggling,joy,0.781
godbless,joy,0.616
pedicure,joy,0.328
closure,joy,0.172
prestige,joy,0.485
raving,joy,0.578
laughs,joy,0.75
zen,joy,0.515
radiant,joy,0.781
relaxed,joy,0.442
sterling,joy,0.312
enthusiasm,joy,0.742
improve,joy,0.364
cherish,joy,0.703
entertaining,joy,0.688
stillness,joy,0.203
aspiring,joy,0.618
yayyy,joy,0.803
prosperity,joy,0.735
hammock,joy,0.394
lover,joy,0.719
stroll,joy,0.156
civilized,joy,0.169
fondness,joy,0.625
gesture,joy,0.387
yessss,joy,0.728
purr,joy,0.5
happiness,joy,0.984
bonanza,joy,0.812
massage,joy,0.47
spaniel,joy,0.145
carol,joy,0.328
mucis,joy,0.212
goodies,joy,0.594
inseparable,joy,0.485
save,joy,0.2
bday,joy,0.672
meritorious,joy,0.5
heartily,joy,0.469
superman,joy,0.312
healthy,joy,0.5
accomplish,joy,0.5
neutral,joy,0.114
quiet,joy,0.188
symphony,joy,0.422
soulful,joy,0.5
light,joy,0.297
alive,joy,0.531
desire,joy,0.484
resplendent,joy,0.516
lyre,joy,0.234
vacation,joy,0.547
waves,joy,0.266
free,joy,0.544
noworries,joy,0.453
sympathetic,joy,0.188
pumped,joy,0.567
excited,joy,0.818
psalms,joy,0.288
music,joy,0.531
commemorate,joy,0.453
redeemed,joy,0.375
weightloss,joy,0.362
venerable,joy,0.279
enchant,joy,0.734
stargazing,joy,0.625
helpful,joy,0.422
unforgettable,joy,0.375
parade,joy,0.621
newday,joy,0.438
atone,joy,0.197
toast,joy,0.281
carefree,joy,0.5
thanking,joy,0.515
lazyday,joy,0.318
reminiscing,joy,0.456
heyday,joy,0.484
rejoicing,joy,0.818
promise,joy,0.415
winnings,joy,0.609
freedom,joy,0.561
clarity,joy,0.258
yoga,joy,0.266
date,joy,0.344
ejaculation,joy,0.424
selflove,joy,0.742
grateful,joy,0.789
sun,joy,0.266
jolly,joy,0.891
midwife,joy,0.288
radiance,joy,0.725
honeymoon,joy,0.636
thankyoujesus,joy,0.688
amour,joy,0.607
festival,joy,0.625
succeed,joy,0.516
soppy,joy,0.188
advocacy,joy,0.25
gem,joy,0.5
vernal,joy,0.203
astonishment,joy,0.547
brilliant,joy,0.859
makesmehappy,joy,0.922
outburst,joy,0.176
artwork,joy,0.265
humorous,joy,0.562
comforting,joy,0.636
blessings,joy,0.75
life,joy,0.438
sing,joy,0.729
calmness,joy,0.422
mountain,joy,0.25
reunion,joy,0.375
captivate,joy,0.656
pretty,joy,0.469
godsend,joy,0.688
hippie,joy,0.288
contented,joy,0.588
clown,joy,0.409
goodlife,joy,0.703
quaint,joy,0.297
feelgood,joy,0.736
funday,joy,0.772
tropical,joy,0.455
newlife,joy,0.618
soothe,joy,0.47
lamb,joy,0.219
illumination,joy,0.53
resources,joy,0.288
ocean,joy,0.286
consecration,joy,0.235
greatnight,joy,0.734
lovethis,joy,0.891
winterbreak,joy,0.429
home,joy,0.559
tree,joy,0.09
thankyougod,joy,0.824
proficiency,joy,0.359
serene,joy,0.531
buddy,joy,0.427
praising,joy,0.719
excitement,joy,0.922
weeeee,joy,0.672
animated,joy,0.515
brighter,joy,0.625
cuddling,joy,0.766
childhood,joy,0.394
lovee,joy,0.92
family,joy,0.5
symmetry,joy,0.197
indescribable,joy,0.397
fab,joy,0.531
critical,joy,0.116
yummy,joy,0.484
chirping,joy,0.328
greatness,joy,0.75
simplify,joy,0.312
inheritance,joy,0.47
gracias,joy,0.554
chilled,joy,0.25
succeeding,joy,0.576
vow,joy,0.382
allure,joy,0.453
bestfeeling,joy,0.712
gratitude,joy,0.914
accolade,joy,0.586
workout,joy,0.172
optimism,joy,0.703
psalm,joy,0.328
makingdisciples,joy,0.136
amusing,joy,0.625
reunite,joy,0.414
appreciation,joy,0.656
unbeaten,joy,0.438
lovemylife,joy,0.797
simplicity,joy,0.375
camping,joy,0.221
allsmiles,joy,0.828
cuddles,joy,0.662
hunting,joy,0.109
sensuous,joy,0.578
gladness,joy,0.803
compensate,joy,0.273
trance,joy,0.246
breezy,joy,0.219
jump,joy,0.379
orchard,joy,0.221
