word,emotion,score
engaged,trust,0.625
helper,trust,0.586
sir,trust,0.445
teach,trust,0.617
justice,trust,0.711
nerds,trust,0.5
elect,trust,0.438
bridesmaid,trust,0.469
protected,trust,0.703
strengthen,trust,0.594
believing,trust,0.727
legislature,trust,0.336
income,trust,0.484
aksesoris,trust,0.32
soundness,trust,0.633
marrow,trust,0.367
coax,trust,0.203
laureate,trust,0.523
experienced,trust,0.602
competency,trust,0.648
plaudit,trust,0.383
leading,trust,0.641
professorship,trust,0.625
assurance,trust,0.703
usher,trust,0.391
transcript,trust,0.531
agreed,trust,0.648
wealth,trust,0.43
impressionable,trust,0.43
alliance,trust,0.727
determination,trust,0.711
endow,trust,0.492
respected,trust,0.766
probity,trust,0.422
ambition,trust,0.586
delegate,trust,0.586
winning,trust,0.523
counted,trust,0.477
suggest,trust,0.352
romance,trust,0.484
operation,trust,0.445
equality,trust,0.727
kindred,trust,0.719
exaltation,trust,0.445
honored,trust,0.719
husbandry,trust,0.586
lamb,trust,0.477
seal,trust,0.531
aunt,trust,0.461
thermometer,trust,0.305
endowment,trust,0.594
admissible,trust,0.508
forefathers,trust,0.539
personal,trust,0.5
putative,trust,0.477
edited,trust,0.383
guarded,trust,0.602
autism,trust,0.273
prefer,trust,0.469
antifungal,trust,0.266
prepared,trust,0.703
readiness,trust,0.547
doctrine,trust,0.5
deed,trust,0.531
pill,trust,0.312
trustee,trust,0.734
courageous,trust,0.633
forgiving,trust,0.508
governor,trust,0.453
successful,trust,0.648
gentleman,trust,0.656
secure,trust,0.688
weight,trust,0.289
steward,trust,0.609
curfew,trust,0.383
agreeable,trust,0.695
axiom,trust,0.422
counselor,trust,0.648
merchant,trust,0.242
asserting,trust,0.445
brotherhood,trust,0.82
father,trust,0.586
taught,trust,0.523
assuredly,trust,0.648
mediate,trust,0.555
brighten,trust,0.602
immerse,trust,0.469
deluxe,trust,0.398
insight,trust,0.562
fade,trust,0.359
bridegroom,trust,0.445
compliance,trust,0.586
neighbor,trust,0.523
actress,trust,0.305
guidance,trust,0.688
convinced,trust,0.578
supremacy,trust,0.422
tribunal,trust,0.516
divan,trust,0.297
coronation,trust,0.523
curable,trust,0.562
accredited,trust,0.672
pry,trust,0.195
accompaniment,trust,0.531
superstar,trust,0.367
butler,trust,0.438
countryman,trust,0.484
crowning,trust,0.484
doubts,trust,0.172
truthful,trust,0.836
chandler,trust,0.391
applause,trust,0.539
attorney,trust,0.352
bedrock,trust,0.617
reward,trust,0.508
magnify,trust,0.445
truce,trust,0.617
comptroller,trust,0.438
cash,trust,0.414
sing,trust,0.422
loving,trust,0.641
radar,trust,0.406
blessings,trust,0.609
respite,trust,0.422
bounty,trust,0.383
understanding,trust,0.688
advise,trust,0.57
rapt,trust,0.414
deputy,trust,0.453
preservative,trust,0.414
conquer,trust,0.273
enjoying,trust,0.586
everlasting,trust,0.57
clan,trust,0.398
warranty,trust,0.656
theorem,trust,0.445
favorable,trust,0.656
cosmopolitan,trust,0.367
fender,trust,0.359
strengthening,trust,0.661
confidentially,trust,0.727
pledge,trust,0.688
birth,trust,0.5
clerical,trust,0.32
episcopal,trust,0.477
center,trust,0.531
deference,trust,0.414
apostolic,trust,0.562
simplify,trust,0.43
marriage,trust,0.695
intend,trust,0.422
religions,trust,0.5
gratitude,trust,0.594
disclosed,trust,0.43
plausible,trust,0.57
popular,trust,0.398
pedigree,trust,0.57
electorate,trust,0.398
planning,trust,0.617
sympathetic,trust,0.602
truthfulness,trust,0.906
notary,trust,0.609
infinity,trust,0.5
don,trust,0.273
bylaw,trust,0.586
senate,trust,0.367
freedom,trust,0.742
define,trust,0.539
gusset,trust,0.234
conveyancing,trust,0.438
effective,trust,0.469
official,trust,0.68
acclaim,trust,0.586
united,trust,0.695
attendant,trust,0.461
modest,trust,0.57
efforts,trust,0.492
powerful,trust,0.523
cooperating,trust,0.711
burden,trust,0.234
mastery,trust,0.672
arbiter,trust,0.484
commonplace,trust,0.453
philosopher,trust,0.508
philanthropic,trust,0.594
rely,trust,0.648
confirmation,trust,0.734
indelible,trust,0.5
morals,trust,0.695
therapeutic,trust,0.633
lender,trust,0.43
evident,trust,0.625
sneaking,trust,0.211
truss,trust,0.422
obey,trust,0.578
lord,trust,0.445
constitute,trust,0.492
comfort,trust,0.609
shelter,trust,0.578
resistance,trust,0.297
heroine,trust,0.617
assessment,trust,0.594
expertise,trust,0.68
sisterhood,trust,0.773
measured,trust,0.57
disciple,trust,0.664
admitted,trust,0.461
disposed,trust,0.32
unofficial,trust,0.32
hope,trust,0.68
confirmed,trust,0.68
stamina,trust,0.539
affirm,trust,0.68
volunteers,trust,0.57
eulogistic,trust,0.391
barter,trust,0.398
sterling,trust,0.477
coexisting,trust,0.578
excellence,trust,0.727
assessor,trust,0.375
coach,trust,0.555
association,trust,0.516
perfect,trust,0.539
moderator,trust,0.492
comrade,trust,0.648
liberate,trust,0.523
structure,trust,0.656
grandfather,trust,0.68
allied,trust,0.695
dominion,trust,0.422
elder,trust,0.656
messenger,trust,0.391
regal,trust,0.469
accepted,trust,0.672
trusts,trust,0.758
immunization,trust,0.531
innocent,trust,0.703
love,trust,0.758
discretion,trust,0.555
glow,trust,0.398
petit,trust,0.344
flange,trust,0.242
adore,trust,0.578
seniority,trust,0.586
nursery,trust,0.477
religion,trust,0.469
vow,trust,0.781
rejection,trust,0.273
merchandise,trust,0.398
protecting,trust,0.734
assembly,trust,0.484
bailiff,trust,0.367
liking,trust,0.609
relative,trust,0.57
radiance,trust,0.492
cement,trust,0.336
heal,trust,0.609
chaplain,trust,0.523
graduation,trust,0.523
hairchalk,trust,0.336
prestige,trust,0.586
mamma,trust,0.641
credential,trust,0.727
follow,trust,0.477
assist,trust,0.648
joyful,trust,0.586
mainstay,trust,0.602
registry,trust,0.547
covenant,trust,0.672
sincere,trust,0.797
administrative,trust,0.352
digit,trust,0.438
testament,trust,0.617
elite,trust,0.438
found,trust,0.484
veteran,trust,0.555
wholesome,trust,0.742
knickers,trust,0.367
confidence,trust,0.641
paean,trust,0.391
laudation,trust,0.484
dealings,trust,0.422
mule,trust,0.281
champion,trust,0.641
shopping,trust,0.297
strive,trust,0.531
officer,trust,0.609
secret,trust,0.305
compassion,trust,0.759
feeling,trust,0.518
carol,trust,0.336
aspiring,trust,0.539
bounce,trust,0.344
cap,trust,0.32
synergistic,trust,0.453
toughness,trust,0.43
cathedral,trust,0.455
minded,trust,0.516
merit,trust,0.664
underwrite,trust,0.469
serene,trust,0.586
deliverance,trust,0.531
fully,trust,0.516
handgel,trust,0.32
honeymoon,trust,0.523
grant,trust,0.594
optimist,trust,0.5
liberty,trust,0.547
nurture,trust,0.703
commendation,trust,0.594
khan,trust,0.266
priesthood,trust,0.461
conciliation,trust,0.547
acrobat,trust,0.258
cooperation,trust,0.711
chairman,trust,0.492
commodore,trust,0.414
zealous,trust,0.258
freely,trust,0.516
careful,trust,0.578
honorable,trust,0.805
inspired,trust,0.602
backbone,trust,0.633
retirement,trust,0.531
possess,trust,0.383
chicane,trust,0.289
princely,trust,0.531
psalm,trust,0.492
elders,trust,0.68
landmark,trust,0.477
yearning,trust,0.398
teacher,trust,0.641
unimpeachable,trust,0.617
regrets,trust,0.281
sun,trust,0.438
abundance,trust,0.57
chancellor,trust,0.445
amour,trust,0.508
endless,trust,0.344
deserve,trust,0.516
treat,trust,0.422
determinate,trust,0.57
wisdom,trust,0.789
fundamental,trust,0.617
dolphin,trust,0.367
attentive,trust,0.617
complimentary,trust,0.594
constitutional,trust,0.586
counsel,trust,0.656
glory,trust,0.477
stages,trust,0.391
orchestra,trust,0.445
sceptical,trust,0.227
guarantee,trust,0.711
handbook,trust,0.445
neutrality,trust,0.43
ballot,trust,0.531
puppy,trust,0.453
acceptance,trust,0.68
green,trust,0.359
bait,trust,0.133
confessional,trust,0.508
physicist,trust,0.555
ourselves,trust,0.523
bouquet,trust,0.375
inviting,trust,0.578
earn,trust,0.562
retain,trust,0.5
pilot,trust,0.57
reinforcements,trust,0.539
crescendo,trust,0.352
opera,trust,0.336
policy,trust,0.508
guardianship,trust,0.703
perpetuity,trust,0.516
resources,trust,0.43
hardy,trust,0.492
certified,trust,0.695
tantamount,trust,0.539
immovable,trust,0.539
mediator,trust,0.609
doctor,trust,0.641
antidote,trust,0.539
intended,trust,0.469
timing,trust,0.5
ranger,trust,0.484
advised,trust,0.75
roadster,trust,0.359
finally,trust,0.453
approbate,trust,0.484
lieutenant,trust,0.508
honest,trust,0.844
formula,trust,0.445
axiomatic,trust,0.352
kind,trust,0.641
fain,trust,0.398
gubernatorial,trust,0.312
meritorious,trust,0.586
enliven,trust,0.445
bridal,trust,0.43
inevitable,trust,0.492
estimation,trust,0.336
homage,trust,0.633
system,trust,0.406
beliefs,trust,0.625
monogamy,trust,0.688
prophet,trust,0.555
competence,trust,0.75
legislator,trust,0.406
notable,trust,0.523
proverbs,trust,0.492
enablement,trust,0.422
unfailing,trust,0.586
crucial,trust,0.461
psalms,trust,0.539
embrace,trust,0.602
insure,trust,0.57
assured,trust,0.625
partnership,trust,0.789
bride,trust,0.531
authentication,trust,0.766
parliament,trust,0.477
gateway,trust,0.5
youll,trust,0.328
generous,trust,0.594
uncritical,trust,0.469
cohesion,trust,0.562
obstetrician,trust,0.516
deacon,trust,0.43
heroism,trust,0.648
privilege,trust,0.414
courtship,trust,0.508
communion,trust,0.578
diplomatic,trust,0.68
partake,trust,0.461
grandchildren,trust,0.492
durable,trust,0.547
dependent,trust,0.531
foresight,trust,0.555
fashion,trust,0.266
faithful,trust,0.797
accountable,trust,0.695
top,trust,0.469
eagle,trust,0.453
denied,trust,0.211
dignity,trust,0.672
fellas,trust,0.414
chart,trust,0.453
chuckle,trust,0.219
differences,trust,0.375
heritage,trust,0.547
harmoniously,trust,0.672
fidelity,trust,0.633
judge,trust,0.578
playground,trust,0.344
sex,trust,0.375
series,trust,0.383
guide,trust,0.57
estimable,trust,0.43
convince,trust,0.586
agreeing,trust,0.68
loyalty,trust,0.805
errand,trust,0.43
applaud,trust,0.562
regularity,trust,0.539
armory,trust,0.391
tradesmen,trust,0.445
cover,trust,0.375
fortress,trust,0.461
gullible,trust,0.281
endorse,trust,0.633
pious,trust,0.5
facts,trust,0.656
cooperative,trust,0.781
sweetheart,trust,0.589
thrift,trust,0.227
defended,trust,0.656
safekeeping,trust,0.758
tender,trust,0.516
emphasize,trust,0.438
mate,trust,0.586
manual,trust,0.367
doubt,trust,0.203
rescue,trust,0.531
obstacle,trust,0.242
institute,trust,0.539
phalanx,trust,0.359
sanction,trust,0.406
prophylactic,trust,0.312
rod,trust,0.32
guard,trust,0.5
confidential,trust,0.68
commerce,trust,0.461
intense,trust,0.398
darling,trust,0.5
marine,trust,0.367
favorite,trust,0.484
word,trust,0.477
commendable,trust,0.68
imperfections,trust,0.312
cuddle,trust,0.57
serve,trust,0.414
seals,trust,0.352
admire,trust,0.703
patience,trust,0.555
purr,trust,0.344
offering,trust,0.414
authentic,trust,0.75
goodness,trust,0.68
nun,trust,0.602
shyt,trust,0.227
heroic,trust,0.664
indent,trust,0.273
salary,trust,0.414
trusting,trust,0.836
chemist,trust,0.445
corporation,trust,0.328
count,trust,0.43
collectively,trust,0.586
brother,trust,0.648
signature,trust,0.477
show,trust,0.352
armor,trust,0.484
fiesta,trust,0.281
prudent,trust,0.547
approvement,trust,0.617
vulnerable,trust,0.359
unity,trust,0.641
leader,trust,0.68
monk,trust,0.586
admitting,trust,0.539
weaknesses,trust,0.18
surrender,trust,0.281
uplift,trust,0.562
title,trust,0.469
irrefutable,trust,0.578
sib,trust,0.32
eulogy,trust,0.398
authenticity,trust,0.688
steady,trust,0.602
contains,trust,0.461
deny,trust,0.18
choices,trust,0.539
godly,trust,0.586
safe,trust,0.672
cogent,trust,0.414
reparation,trust,0.383
rejoice,trust,0.547
valor,trust,0.688
nobleman,trust,0.516
exchange,trust,0.453
ambassador,trust,0.664
enjoy,trust,0.484
intimate,trust,0.634
fortitude,trust,0.633
proxy,trust,0.32
identify,trust,0.602
guardian,trust,0.695
regardless,trust,0.391
impeccable,trust,0.664
aspire,trust,0.492
peaceful,trust,0.648
weakness,trust,0.266
fisheye,trust,0.281
linguist,trust,0.406
fulfill,trust,0.602
weigh,trust,0.344
contributor,trust,0.492
proficiency,trust,0.656
recovery,trust,0.539
trusted,trust,0.883
mother,trust,0.703
verily,trust,0.531
defeated,trust,0.258
courier,trust,0.461
clap,trust,0.344
money,trust,0.359
darkest,trust,0.32
revere,trust,0.586
akin,trust,0.414
swell,trust,0.367
watchman,trust,0.539
bureaucracy,trust,0.25
bursary,trust,0.367
county,trust,0.336
caretaker,trust,0.625
relevant,trust,0.539
unimpeached,trust,0.523
mortgagee,trust,0.359
kitten,trust,0.461
law,trust,0.547
responsive,trust,0.539
dealt,trust,0.344
clapping,trust,0.375
envy,trust,0.219
bargain,trust,0.367
hermit,trust,0.305
shepherd,trust,0.508
eager,trust,0.539
impart,trust,0.445
frankness,trust,0.562
refuge,trust,0.531
defender,trust,0.555
fixed,trust,0.422
nestle,trust,0.367
favs,trust,0.398
adhering,trust,0.57
grit,trust,0.43
pleasant,trust,0.562
climax,trust,0.398
measure,trust,0.516
mandarin,trust,0.297
upright,trust,0.578
allegiance,trust,0.711
negotiate,trust,0.445
vitality,trust,0.562
throne,trust,0.367
sentinel,trust,0.516
police,trust,0.484
lover,trust,0.477
oracle,trust,0.438
reliance,trust,0.664
transcendence,trust,0.602
unsurpassed,trust,0.508
diagnosis,trust,0.484
peace,trust,0.602
medical,trust,0.508
machine,trust,0.289
general,trust,0.375
usual,trust,0.445
obliging,trust,0.539
statement,trust,0.547
necessarily,trust,0.461
benedictory,trust,0.523
answerable,trust,0.531
charitable,trust,0.711
info,trust,0.5
spouse,trust,0.594
connective,trust,0.57
playful,trust,0.43
hail,trust,0.43
vicar,trust,0.469
constable,trust,0.508
fulfillment,trust,0.664
skillful,trust,0.695
conformity,trust,0.438
approval,trust,0.758
remains,trust,0.445
constancy,trust,0.656
civilization,trust,0.609
convincing,trust,0.633
eminence,trust,0.594
unconditional,trust,0.602
exalt,trust,0.555
executor,trust,0.406
utopian,trust,0.43
memorable,trust,0.539
luxury,trust,0.406
warn,trust,0.305
consult,trust,0.57
respectful,trust,0.734
integrity,trust,0.805
explain,trust,0.398
bequest,trust,0.43
structural,trust,0.578
purification,trust,0.609
intelligent,trust,0.672
committee,trust,0.516
achieve,trust,0.656
intact,trust,0.508
base,trust,0.43
affection,trust,0.484
thoughtful,trust,0.617
improvement,trust,0.523
brotherly,trust,0.633
director,trust,0.445
footing,trust,0.359
victory,trust,0.586
mistakes,trust,0.133
pontiff,trust,0.5
ordained,trust,0.641
president,trust,0.453
proficient,trust,0.664
advocacy,trust,0.68
countenance,trust,0.523
unquestionable,trust,0.602
approbation,trust,0.527
trainer,trust,0.414
vigorous,trust,0.562
sappy,trust,0.273
sensual,trust,0.445
dictum,trust,0.445
ejaculation,trust,0.273
shopkeeper,trust,0.422
expert,trust,0.664
qualified,trust,0.766
enable,trust,0.508
collaborator,trust,0.57
hopeless,trust,0.203
shorty,trust,0.289
straightforward,trust,0.711
smith,trust,0.312
mathematical,trust,0.477
prize,trust,0.562
sundial,trust,0.305
priest,trust,0.508
accepts,trust,0.648
trust,trust,0.805
encourage,trust,0.625
betrothed,trust,0.555
enlightenment,trust,0.602
fuse,trust,0.352
inspire,trust,0.68
fellow,trust,0.492
responsible,trust,0.789
inoculation,trust,0.539
nation,trust,0.406
umpire,trust,0.492
pretty,trust,0.367
content,trust,0.562
libel,trust,0.219
bloom,trust,0.531
theological,trust,0.461
believes,trust,0.672
manage,trust,0.461
inseparable,trust,0.531
corroboration,trust,0.57
repay,trust,0.43
lovely,trust,0.586
attraction,trust,0.492
advent,trust,0.516
uphold,trust,0.648
true,trust,0.789
wear,trust,0.328
diplomacy,trust,0.586
iron,trust,0.398
lawful,trust,0.641
eventually,trust,0.461
follower,trust,0.391
witness,trust,0.602
backer,trust,0.5
mag,trust,0.234
triumphant,trust,0.617
sovereign,trust,0.508
theory,trust,0.328
humanitarian,trust,0.695
clean,trust,0.484
incline,trust,0.414
challenges,trust,0.289
authenticate,trust,0.719
reassure,trust,0.617
personalities,trust,0.375
rooted,trust,0.586
compassionate,trust,0.695
exhaustive,trust,0.438
apprentice,trust,0.422
athlete,trust,0.414
font,trust,0.352
sheriff,trust,0.492
pawn,trust,0.211
conglomerate,trust,0.414
